rule,timestamp,ip
R3_ransomware_detected,2025-06-22T18:50:04.092428,192.168.1.50
R3_ransomware_detected,2025-06-22T18:50:04.092428,192.168.1.50
R1_login_failures,2025-06-22T18:50:04.093452,192.168.1.50
R3_ransomware_detected,2025-06-22T18:50:19.120025,192.168.1.50
R3_ransomware_detected,2025-06-22T18:50:19.120025,192.168.1.50
R3_ransomware_detected,2025-06-22T18:50:19.120025,192.168.1.50
R1_login_failures,2025-06-22T18:50:19.121537,192.168.1.50
R3_ransomware_detected,2025-06-22T18:50:34.145455,192.168.1.50
R3_ransomware_detected,2025-06-22T18:50:34.146468,192.168.1.50
R3_ransomware_detected,2025-06-22T18:50:34.146468,192.168.1.50
R1_login_failures,2025-06-22T18:50:34.147780,192.168.1.50
R3_ransomware_detected,2025-06-22T18:50:49.176626,192.168.1.50
R3_ransomware_detected,2025-06-22T18:50:49.176626,192.168.1.50
R3_ransomware_detected,2025-06-22T18:50:49.178254,192.168.1.50
R1_login_failures,2025-06-22T18:50:49.179269,192.168.1.50
R3_ransomware_detected,2025-06-22T18:51:04.205987,192.168.1.50
R3_ransomware_detected,2025-06-22T18:51:04.207574,192.168.1.50
R3_ransomware_detected,2025-06-22T18:51:04.207574,192.168.1.50
R1_login_failures,2025-06-22T18:51:04.209161,192.168.1.50
R3_ransomware_detected,2025-06-22T18:51:19.235885,192.168.1.50
R3_ransomware_detected,2025-06-22T18:51:19.236884,192.168.1.50
R3_ransomware_detected,2025-06-22T18:51:19.236884,192.168.1.50
R1_login_failures,2025-06-22T18:51:19.238909,192.168.1.50
R3_ransomware_detected,2025-06-22T18:51:34.265415,192.168.1.50
R3_ransomware_detected,2025-06-22T18:51:34.266433,192.168.1.50
R3_ransomware_detected,2025-06-22T18:51:34.266948,192.168.1.50
R1_login_failures,2025-06-22T18:51:34.266948,192.168.1.50
R3_ransomware_detected,2025-06-22T18:51:49.297194,192.168.1.50
R3_ransomware_detected,2025-06-22T18:51:49.298196,192.168.1.50
R3_ransomware_detected,2025-06-22T18:51:49.299194,192.168.1.50
R1_login_failures,2025-06-22T18:51:49.301206,192.168.1.50
R3_ransomware_detected,2025-06-22T18:52:04.328380,192.168.1.50
R3_ransomware_detected,2025-06-22T18:52:04.329372,192.168.1.50
R3_ransomware_detected,2025-06-22T18:52:04.329372,192.168.1.50
R1_login_failures,2025-06-22T18:52:04.330389,192.168.1.50
R3_ransomware_detected,2025-06-22T18:52:19.354893,192.168.1.50
R3_ransomware_detected,2025-06-22T18:52:19.354893,192.168.1.50
R3_ransomware_detected,2025-06-22T18:52:19.355906,192.168.1.50
R1_login_failures,2025-06-22T18:52:19.356905,192.168.1.50
R3_ransomware_detected,2025-06-22T18:52:34.387644,192.168.1.50
R3_ransomware_detected,2025-06-22T18:52:34.388656,192.168.1.50
R3_ransomware_detected,2025-06-22T18:52:34.388656,192.168.1.50
R1_login_failures,2025-06-22T18:52:34.389657,192.168.1.50
R3_ransomware_detected,2025-06-22T18:52:49.412639,192.168.1.50
R3_ransomware_detected,2025-06-22T18:52:49.412639,192.168.1.50
R3_ransomware_detected,2025-06-22T18:52:49.413640,192.168.1.50
R1_login_failures,2025-06-22T18:52:49.413640,192.168.1.50
